Date,Journey_ID,Transport_Mode,Origin_Station,Destination_Station,Tap_In_Time,Tap_Out_Time,Journey_Cost,Delay_Minutes,Origin_Borough,Destination_Borough,Journey_Duration
2024-09-06,TFL-J-586361,Tube,Stratford,Kings Cross,2024-09-06 14:20:00,2024-09-06 13:46:00,3.8,13,Newham,Camden,-34.0
2024-09-26,TFL-J-233357,Tube,Liverpool Street,Stratford,2024-09-26 08:59:00,2024-09-26 08:00:00,3.7,23,City of London,Newham,-59.0
2024-01-23,TFL-J-617380,Tube,Bank,Stratford,2024-01-23 09:16:00,2024-01-23 08:24:00,5.27,21,City of London,Newham,-52.0
2024-10-14,TFL-J-800539,Tube,Waterloo,Euston,2024-10-14 08:10:00,2024-10-14 07:24:00,3.26,24,Lambeth,Camden,-46.0
2024-03-02,TFL-J-855099,Tube,Canary Wharf,London Bridge,2024-03-02 17:58:00,2024-03-02 17:03:00,3.15,11,Tower Hamlets,Southwark,-55.0
2024-10-26,TFL-J-231173,Bus,Bank,Stratford,2024-10-26 17:22:00,2024-10-26 17:01:00,1.75,4,City of London,Newham,-21.0
2024-01-31,TFL-J-340249,Bus,Victoria,Waterloo,2024-01-31 11:59:00,2024-01-31 11:25:00,1.75,2,Westminster,Lambeth,-34.0
2024-03-02,TFL-J-208736,Tube,Kings Cross,Stratford,2024-03-02 20:45:00,2024-03-02 20:02:00,4.32,8,Camden,Newham,-43.0
2024-01-12,TFL-J-968718,Bus,Canary Wharf,Kings Cross,2024-01-12 13:08:00,2024-01-12 12:25:00,1.75,4,Tower Hamlets,Camden,-43.0
2024-10-01,TFL-J-466013,Bus,Kings Cross,Bank,2024-10-01 18:20:00,2024-10-01 17:23:00,1.75,18,Camden,City of London,-57.0
2024-03-11,TFL-J-971076,Overground,Canary Wharf,London Bridge,2024-03-11 08:36:00,2024-03-11 07:28:00,3.12,24,Tower Hamlets,Southwark,-68.0
2024-11-05,TFL-J-949222,Overground,Kings Cross,Liverpool Street,2024-11-05 09:30:00,2024-11-05 08:32:00,3.42,15,Camden,City of London,-58.0
2024-07-10,TFL-J-244508,Tube,Waterloo,Liverpool Street,2024-07-10 18:27:00,2024-07-10 18:06:00,3.4,1,Lambeth,City of London,-21.0
2024-03-01,TFL-J-151281,Bus,Euston,Stratford,2024-03-01 22:05:00,2024-03-01 22:05:00,1.75,0,Camden,Newham,0.0
2024-11-16,TFL-J-878123,Tube,London Bridge,Canary Wharf,2024-11-16 09:00:00,2024-11-16 08:18:00,2.87,8,Southwark,Tower Hamlets,-42.0
2024-09-30,TFL-J-342069,Tube,Bank,Canary Wharf,2024-09-30 17:20:00,2024-09-30 16:42:00,3.23,2,City of London,Tower Hamlets,-38.0
2024-06-25,TFL-J-912083,Tube,Kings Cross,Paddington,2024-06-25 10:29:00,2024-06-25 09:40:00,3.14,20,Camden,Westminster,-49.0
2024-03-21,TFL-J-873216,Tube,Stratford,Bank,2024-03-21 07:40:00,2024-03-21 07:40:00,7.44,15,Newham,City of London,0.0
2024-07-02,TFL-J-970519,Overground,Canary Wharf,Paddington,2024-07-02 18:05:00,2024-07-02 17:32:00,4.7,4,Tower Hamlets,Westminster,-33.0
2024-02-27,TFL-J-503399,Bus,Kings Cross,Euston,2024-02-27 20:02:00,2024-02-27 19:44:00,1.75,2,Camden,Camden,-18.0
2024-06-27,TFL-J-876305,Bus,Kings Cross,Waterloo,2024-06-27 17:33:00,2024-06-27 17:33:00,1.75,5,Camden,Lambeth,0.0
2024-12-03,TFL-J-416095,Tube,London Bridge,Canary Wharf,2024-12-03 15:32:00,2024-12-03 15:32:00,4.42,6,Southwark,Tower Hamlets,0.0
2024-06-10,TFL-J-209524,Tube,Stratford,Liverpool Street,2024-06-10 20:04:00,2024-06-10 19:44:00,4.43,1,Newham,City of London,-20.0
2024-05-15,TFL-J-422639,Tube,London Bridge,Kings Cross,2024-05-15 07:58:00,2024-05-15 07:37:00,4.59,4,Southwark,Camden,-21.0
2024-06-25,TFL-J-776624,Overground,Euston,Victoria,2024-06-25 16:52:00,2024-06-25 16:14:00,3.1,13,Camden,Westminster,-38.0
2024-10-03,TFL-J-165452,Overground,Bank,Stratford,2024-10-03 21:06:00,2024-10-03 20:34:00,3.41,1,City of London,Newham,-32.0
2024-12-08,TFL-J-970062,Tube,Stratford,London Bridge,2024-12-08 07:33:00,2024-12-08 07:10:00,3.7,0,Newham,Southwark,-23.0
2024-03-07,TFL-J-772810,Tube,Victoria,Bank,2024-03-07 10:52:00,2024-03-07 09:53:00,2.99,27,Westminster,City of London,-59.0
2024-05-03,TFL-J-318713,Tube,Paddington,Liverpool Street,2024-05-03 17:53:00,2024-05-03 17:03:00,4.81,18,Westminster,City of London,-50.0
2024-08-05,TFL-J-915004,Tube,Bank,Waterloo,2024-08-05 09:08:00,2024-08-05 08:22:00,4.83,4,City of London,Lambeth,-46.0
