Date,Journey_ID,Transport_Mode,Origin_Station,Destination_Station,Tap_In_Time,Tap_Out_Time,Journey_Cost,Delay_Minutes,Origin_Borough,Destination_Borough
16/01/2024,TFL-J-292207,Tube,Paddington,Kings Cross,16/01/2024 10:36,16/01/2024 11:00,5.2,1,Westminster,Camden
26/05/2024,TFL-J-765103,Tube,Bank,Stratford,26/05/2024 07:02,26/05/2024 07:38,3.99,11,City of London,Newham
26/07/2024,TFL-J-275876,Tube,Stratford,Bank,26/07/2024 08:39,26/07/2024 08:39,4.4,12,Newham,City of London
09/08/2024,TFL-J-223610,Bus,Victoria,Stratford,09/08/2024 16:50,09/08/2024 17:29,1.75,3,Westminster,Newham
25/05/2024,TFL-J-573066,Tube,Victoria,Waterloo,25/05/2024 16:33,25/05/2024 17:08,4.15,9,Westminster,Lambeth
13/10/2024,TFL-J-903833,Tube,Paddington,Euston,13/10/2024 10:02,13/10/2024 09:19,4.66,1,Westminster,Camden
03/04/2024,TFL-J-147425,Tube,Stratford,Victoria,03/04/2024 14:51,03/04/2024 15:08,3.33,2,Newham,Westminster
08/07/2024,TFL-J-807126,Bus,London Bridge,Bank,08/07/2024 14:28,08/07/2024 15:03,5.14,1,Southwark,City of London
17/03/2024,TFL-J-157765,Tube,Canary Wharf,Euston,17/03/2024 09:06,17/03/2024 09:40,5.14,1,Tower Hamlets,Camden
18/10/2024,TFL-J-730344,Tube,Euston,Stratford,18/10/2024 14:24,18/10/2024 14:50,5.44,2,Camden,Newham
09/08/2024,TFL-J-411066,Tube,Kings Cross,Canary Wharf,09/08/2024 19:21,09/08/2024 19:54,4,1,Camden,Tower Hamlets
16/08/2024,TFL-J-418989,Bus,Kings Cross,Waterloo,16/08/2024 17:03,16/08/2024 17:54,1.75,21,Camden,Lambeth
07/05/2024,TFL-J-225541,Bus,Bank,Canary Wharf,07/05/2024 07:32,07/05/2024 08:17,1.75,23,City of London,Tower Hamlets
17/09/2024,TFL-J-659154,Overground,Waterloo,Paddington,17/09/2024 18:54,17/09/2024 19:50,3.19,13,Lambeth,Westminster
25/02/2024,TFL-J-904536,Tube,Paddington,Victoria,25/02/2024 22:44,25/02/2024 23:09,4.39,4,Westminster,Westminster
17/04/2024,TFL-J-272687,Tube,Stratford,Paddington,17/04/2024 08:43,17/04/2024 09:17,3.19,8,Newham,Westminster
29/05/2024,TFL-J-232684,Tube,Victoria,Paddington,29/05/2024 17:01,29/05/2024 17:39,3.88,8,Westminster,Westminster
04/10/2024,TFL-J-563168,Bus,Canary Wharf,Kings Cross,04/10/2024 09:36,04/10/2024 10:24,1.75,6,Tower Hamlets,Camden
11/11/2024,TFL-J-829529,Tube,Stratford,London Bridge,11/11/2024 17:07,11/11/2024 18:01,3.72,17,Newham,Southwark
11/03/2024,TFL-J-429403,Tube,Bank,Stratford,11/03/2024 10:52,11/03/2024 11:33,3.09,3,City of London,Newham
12/06/2024,TFL-J-969616,Bus,Kings Cross,Liverpool Street,12/06/2024 18:39,12/06/2024 19:30,1.75,6,Camden,City of London
25/12/2024,TFL-J-458204,Tube,Stratford,Canary Wharf,25/12/2024 18:54,25/12/2024 19:24,3.68,1,Newham,Tower Hamlets
21/11/2024,TFL-J-300524,Tube,Paddington,Victoria,21/11/2024 07:11,21/11/2024 07:50,5.44,24,Westminster,Westminster
19/09/2024,TFL-J-108080,Bus,Liverpool Street,Paddington,19/09/2024 17:57,19/09/2024 18:40,1.75,8,City of London,Westminster
21/02/2024,TFL-J-273106,Tube,Canary Wharf,Euston,21/02/2024 08:47,21/02/2024 09:11,4.12,1,Tower Hamlets,Camden
19/04/2024,TFL-J-303451,Tube,Victoria,London Bridge,19/04/2024 14:48,19/04/2024 15:27,10.57,10,Westminster,Southwark
07/08/2024,TFL-J-679547,Bus,Bank,Victoria,07/08/2024 17:00,07/08/2024 17:30,1.75,0,City of London,Westminster
26/05/2024,TFL-J-136880,Tube,Paddington,Canary Wharf,26/05/2024 07:51,26/05/2024 08:15,3.08,6,Westminster,Tower Hamlets
12/08/2024,TFL-J-237183,Bus,Waterloo,London Bridge,12/08/2024 10:22,12/08/2024 10:50,1.75,6,Lambeth,Southwark
13/01/2024,TFL-J-625186,Tube,Liverpool Street,Bank,13/01/2024 09:18,13/01/2024 10:11,5.04,19,City of London,City of London
14/02/2024,TFL-J-192881,Tube,Waterloo,Bank,14/02/2024 08:43,14/02/2024 09:25,4.95,3,Lambeth,City of London
02/06/2024,TFL-J-868218,Bus,Canary Wharf,Euston,02/06/2024 17:42,02/06/2024 18:06,1.75,8,Tower Hamlets,Camden
07/09/2024,TFL-J-153721,Bus,Victoria,Kings Cross,07/09/2024 08:53,07/09/2024 09:11,1.75,1,Westminster,Camden
22/08/2024,TFL-J-513550,Tube,Waterloo,Bank,22/08/2024 08:39,22/08/2024 09:14,4.91,6,Lambeth,City of London
13/09/2024,TFL-J-954689,Bus,Paddington,Waterloo,13/09/2024 09:11,13/09/2024 09:51,1.75,3,Westminster,Lambeth
13/09/2024,TFL-J-336109,Tube,London Bridge,Liverpool Street,13/09/2024 18:15,13/09/2024 18:52,3.96,8,Southwark,City of London
25/06/2024,TFL-J-176954,Tube,Kings Cross,Paddington,25/06/2024 23:32,26/06/2024 00:03,2.9,2,Camden,Westminster
16/12/2024,TFL-J-239947,Tube,Euston,Liverpool Street,16/12/2024 15:55,16/12/2024 16:35,3.73,1,Camden,City of London
03/01/2024,TFL-J-228566,Tube,Canary Wharf,Euston,03/01/2024 17:24,03/01/2024 18:31,4.95,33,Tower Hamlets,Camden
25/04/2024,TFL-J-640202,Tube,Victoria,Kings Cross,25/04/2024 17:17,25/04/2024 18:15,5.29,38,Westminster,Camden
18/10/2024,TFL-J-735805,Tube,Kings Cross,Waterloo,18/10/2024 09:17,18/10/2024 09:56,2.92,0,Camden,Lambeth
29/12/2024,TFL-J-986026,Bus,Canary Wharf,Waterloo,29/12/2024 23:32,29/12/2024 23:50,1.75,1,Tower Hamlets,Lambeth
31/05/2024,TFL-J-533810,Tube,Kings Cross,Paddington,31/05/2024 16:43,31/05/2024 17:30,4.06,30,Camden,Westminster
05/03/2024,TFL-J-499450,Bus,Kings Cross,Paddington,05/03/2024 11:22,05/03/2024 11:28,9.4,6,Camden,Westminster
11/02/2024,TFL-J-679939,Overground,Liverpool Street,Victoria,11/02/2024 16:18,11/02/2024 17:11,4.23,19,City of London,Westminster
05/07/2024,TFL-J-596681,Overground,London Bridge,Waterloo,05/07/2024 18:26,05/07/2024 19:32,2.81,25,Southwark,Lambeth
12/07/2024,TFL-J-688669,Tube,Liverpool Street,Victoria,12/07/2024 07:32,12/07/2024 08:01,5.11,3,City of London,Westminster
07/11/2024,TFL-J-165132,Tube,Victoria,Euston,07/11/2024 16:20,07/11/2024 16:40,3.79,3,Westminster,Camden
18/01/2024,TFL-J-906834,Overground,Canary Wharf,Waterloo,18/01/2024 20:45,18/01/2024 21:17,7.83,1,Tower Hamlets,Lambeth
26/10/2024,TFL-J-110255,Bus,Stratford,Victoria,26/10/2024 07:45,26/10/2024 08:30,1.75,13,Newham,Westminster
17/11/2024,TFL-J-618459,Tube,Waterloo,Liverpool Street,17/11/2024 09:29,17/11/2024 09:57,3.97,3,Lambeth,City of London
29/06/2024,TFL-J-664654,Tube,Waterloo,Victoria,29/06/2024 16:04,29/06/2024 16:28,4.48,7,Lambeth,Westminster
13/04/2024,TFL-J-977902,Bus,Victoria,Euston,13/04/2024 09:23,13/04/2024 10:04,1.75,20,Westminster,Camden
14/09/2024,TFL-J-541580,Tube,Canary Wharf,Paddington,14/09/2024 16:29,14/09/2024 17:17,3.75,7,Tower Hamlets,Westminster
30/03/2024,TFL-J-845698,Bus,Canary Wharf,Kings Cross,30/03/2024 08:13,30/03/2024 08:51,1.75,13,Tower Hamlets,Camden
06/09/2024,TFL-J-315159,Tube,Bank,Paddington,06/09/2024 08:40,06/09/2024 09:01,5.29,5,City of London,Westminster
09/09/2024,TFL-J-882268,Tube,London Bridge,Victoria,09/09/2024 16:18,09/09/2024 16:27,9.4,2,Southwark,Westminster
14/10/2024,TFL-J-709913,Tube,Bank,Victoria,14/10/2024 14:11,14/10/2024 14:59,3.28,3,City of London,Westminster
25/03/2024,TFL-J-197768,Bus,Bank,Stratford,25/03/2024 12:07,25/03/2024 12:23,3.21,1,City of London,Newham
05/08/2024,TFL-J-422049,Tube,Liverpool Street,London Bridge,05/08/2024 17:06,05/08/2024 17:28,3.65,0,City of London,Southwark
19/07/2024,TFL-J-901349,Bus,Victoria,Liverpool Street,19/07/2024 10:22,19/07/2024 09:42,1.75,24,Westminster,City of London
26/02/2024,TFL-J-765108,Tube,Liverpool Street,Stratford,26/02/2024 07:38,26/02/2024 08:23,3.91,3,City of London,Newham
12/03/2024,TFL-J-627283,Tube,Victoria,Liverpool Street,12/03/2024 20:08,12/03/2024 20:53,3.73,0,Westminster,City of London
04/10/2024,TFL-J-603029,Tube,Waterloo,Liverpool Street,04/10/2024 07:37,04/10/2024 08:28,4.53,14,Lambeth,City of London
21/03/2024,TFL-J-304228,Overground,Paddington,Waterloo,21/03/2024 17:10,21/03/2024 17:43,4.69,13,Westminster,Lambeth
30/04/2024,TFL-J-849204,Tube,Euston,Waterloo,30/04/2024 08:51,30/04/2024 09:24,3.82,16,Camden,Lambeth
12/09/2024,TFL-J-459826,Tube,Victoria,London Bridge,12/09/2024 07:54,12/09/2024 08:36,4.64,3,Westminster,Southwark
30/10/2024,TFL-J-810024,Bus,Paddington,London Bridge,30/10/2024 07:13,30/10/2024 08:31,1.75,55,Westminster,Southwark
23/04/2024,TFL-J-680167,Tube,Euston,Waterloo,23/04/2024 09:52,23/04/2024 10:19,5.32,2,Camden,Lambeth
26/03/2024,TFL-J-704069,Bus,London Bridge,Liverpool Street,26/03/2024 09:46,26/03/2024 10:44,1.75,40,Southwark,City of London
27/08/2024,TFL-J-641751,Tube,Bank,Waterloo,27/08/2024 07:23,27/08/2024 08:07,4.44,18,City of London,Lambeth
30/04/2024,TFL-J-538380,Overground,Stratford,Euston,30/04/2024 15:49,30/04/2024 16:34,4.85,5,Newham,Camden
31/01/2024,TFL-J-648810,Overground,Stratford,Paddington,31/01/2024 23:18,31/01/2024 23:37,4.81,1,Newham,Westminster
28/05/2024,TFL-J-434121,Tube,Bank,Kings Cross,28/05/2024 18:12,28/05/2024 18:58,4.95,12,City of London,Camden
28/11/2024,TFL-J-961045,Bus,Kings Cross,London Bridge,28/11/2024 18:57,28/11/2024 18:11,1.75,15,Camden,Southwark
12/05/2024,TFL-J-888829,Tube,Stratford,Canary Wharf,12/05/2024 16:12,12/05/2024 17:10,5.46,15,Newham,Tower Hamlets
29/05/2024,TFL-J-748952,Tube,Paddington,Stratford,29/05/2024 08:56,29/05/2024 09:40,4.58,8,Westminster,Newham
27/12/2024,TFL-J-495744,Tube,Victoria,Kings Cross,27/12/2024 15:48,27/12/2024 16:19,4.84,0,Westminster,Camden
22/06/2024,TFL-J-395425,Bus,Bank,Paddington,22/06/2024 07:43,22/06/2024 08:31,1.75,3,City of London,Westminster
23/06/2024,TFL-J-879783,Tube,Euston,Stratford,23/06/2024 09:55,23/06/2024 09:29,3.02,8,Camden,Newham
12/01/2024,TFL-J-322151,Bus,Stratford,Canary Wharf,12/01/2024 09:28,12/01/2024 09:56,1.75,12,Newham,Tower Hamlets
13/05/2024,TFL-J-187706,Tube,Stratford,Victoria,13/05/2024 14:37,13/05/2024 15:16,5.46,1,Newham,Westminster
10/01/2024,TFL-J-219502,Tube,Stratford,Waterloo,10/01/2024 18:22,10/01/2024 19:22,4.08,19,Newham,Lambeth
14/11/2024,TFL-J-909567,Bus,Canary Wharf,Stratford,14/11/2024 15:23,14/11/2024 16:08,1.75,2,Tower Hamlets,Newham
10/02/2024,TFL-J-680359,Tube,Euston,Canary Wharf,10/02/2024 07:20,10/02/2024 07:44,4.2,7,Camden,Tower Hamlets
16/03/2024,TFL-J-642521,Tube,Stratford,London Bridge,16/03/2024 18:52,16/03/2024 19:16,3.53,1,Newham,Southwark
03/11/2024,TFL-J-735146,Bus,Stratford,Paddington,03/11/2024 07:04,03/11/2024 07:22,1.75,2,Newham,Westminster
11/08/2024,TFL-J-743208,Tube,Bank,Victoria,11/08/2024 11:23,11/08/2024 12:05,4.76,2,City of London,Westminster
05/03/2024,TFL-J-422274,Bus,Waterloo,Euston,05/03/2024 07:15,05/03/2024 08:08,1.75,18,Lambeth,Camden
07/02/2024,TFL-J-185604,Tube,London Bridge,Euston,07/02/2024 07:12,07/02/2024 08:00,2.84,12,Southwark,Camden
08/11/2024,TFL-J-434674,Tube,Bank,Waterloo,08/11/2024 11:17,08/11/2024 12:00,2.95,3,City of London,Lambeth
26/05/2024,TFL-J-737405,Bus,Euston,Kings Cross,26/05/2024 09:09,26/05/2024 09:54,1.75,4,Camden,Camden
28/03/2024,TFL-J-263736,Bus,Stratford,Waterloo,28/03/2024 07:26,28/03/2024 07:47,1.75,5,Newham,Lambeth
30/04/2024,TFL-J-867767,Tube,Stratford,Paddington,30/04/2024 08:33,30/04/2024 09:56,4.21,44,Newham,Westminster
03/07/2024,TFL-J-331110,Bus,Paddington,Liverpool Street,03/07/2024 08:03,03/07/2024 08:41,1.75,11,Westminster,City of London
14/07/2024,TFL-J-835789,Bus,Bank,Waterloo,14/07/2024 08:39,14/07/2024 09:34,1.75,19,City of London,Lambeth
16/06/2024,TFL-J-824640,Tube,Bank,Stratford,16/06/2024 08:29,16/06/2024 07:55,3.74,2,City of London,Newham
11/05/2024,TFL-J-515293,Bus,Victoria,Paddington,11/05/2024 09:59,11/05/2024 10:38,1.75,8,Westminster,Westminster
28/09/2024,TFL-J-489800,Tube,Paddington,Kings Cross,28/09/2024 17:11,28/09/2024 17:31,3.59,5,Westminster,Camden
22/05/2024,TFL-J-759842,Tube,Waterloo,Liverpool Street,22/05/2024 16:47,22/05/2024 17:07,2.96,5,Lambeth,City of London
19/04/2024,TFL-J-926540,Bus,Euston,Waterloo,19/04/2024 18:24,19/04/2024 18:42,1.75,1,Camden,Lambeth
25/11/2024,TFL-J-484475,Bus,Victoria,Bank,25/11/2024 18:21,25/11/2024 19:03,1.75,1,Westminster,City of London
25/02/2024,TFL-J-781364,Tube,Euston,Paddington,25/02/2024 18:23,25/02/2024 18:55,3.96,0,Camden,Westminster
28/10/2024,TFL-J-110337,Overground,Liverpool Street,Paddington,28/10/2024 08:37,28/10/2024 09:01,3.31,4,City of London,Westminster
30/07/2024,TFL-J-822705,Overground,Stratford,Paddington,30/07/2024 12:48,30/07/2024 13:18,2.99,2,Newham,Westminster
06/04/2024,TFL-J-998452,Tube,London Bridge,Euston,06/04/2024 09:32,06/04/2024 10:02,4.31,9,Southwark,Camden
10/07/2024,TFL-J-594967,Tube,Kings Cross,London Bridge,10/07/2024 09:59,10/07/2024 10:50,4.4,8,Camden,Southwark
07/07/2024,TFL-J-573202,Bus,Paddington,Euston,07/07/2024 07:32,07/07/2024 08:05,1.75,2,Westminster,Camden
12/11/2024,TFL-J-556075,Bus,Canary Wharf,London Bridge,12/11/2024 12:42,12/11/2024 12:12,1.75,1,Tower Hamlets,Southwark
27/04/2024,TFL-J-602150,Tube,Bank,Euston,27/04/2024 08:47,27/04/2024 10:30,4.43,78,City of London,Camden
01/05/2024,TFL-J-280021,Bus,Kings Cross,Euston,01/05/2024 15:51,01/05/2024 16:22,1.75,2,Camden,Camden
24/07/2024,TFL-J-216823,Tube,Victoria,Waterloo,24/07/2024 13:34,24/07/2024 13:59,3.09,2,Westminster,Lambeth
23/04/2024,TFL-J-695549,Tube,Waterloo,Paddington,23/04/2024 07:39,23/04/2024 08:17,4.76,1,Lambeth,Westminster
25/07/2024,TFL-J-667938,Tube,Bank,Canary Wharf,25/07/2024 16:11,25/07/2024 16:46,3.86,0,City of London,Tower Hamlets
16/12/2024,TFL-J-783408,Bus,Euston,Stratford,16/12/2024 17:30,16/12/2024 17:32,9.4,10,Camden,Newham
29/03/2024,TFL-J-805856,Tube,Victoria,Waterloo,29/03/2024 08:27,29/03/2024 09:32,3.37,27,Westminster,Lambeth
16/08/2024,TFL-J-410187,Tube,Stratford,Euston,16/08/2024 22:42,16/08/2024 22:45,9.4,10,Newham,Camden
06/04/2024,TFL-J-870387,Tube,Kings Cross,London Bridge,06/04/2024 12:57,06/04/2024 13:30,4.67,9,Camden,Southwark
05/01/2024,TFL-J-435109,Bus,Paddington,Waterloo,05/01/2024 09:19,05/01/2024 09:56,1.75,12,Westminster,Lambeth
22/11/2024,TFL-J-820656,Overground,Paddington,Victoria,22/11/2024 08:00,22/11/2024 08:24,3.58,5,Westminster,Westminster
13/11/2024,TFL-J-445259,Tube,Euston,Liverpool Street,13/11/2024 08:14,13/11/2024 08:47,4.76,18,Camden,City of London
10/06/2024,TFL-J-481526,Bus,Bank,Kings Cross,10/06/2024 18:48,10/06/2024 19:25,1.75,16,City of London,Camden
18/07/2024,TFL-J-601901,Bus,Canary Wharf,London Bridge,18/07/2024 18:15,18/07/2024 19:02,1.75,4,Tower Hamlets,Southwark
01/01/2024,TFL-J-893139,Overground,Waterloo,Stratford,01/01/2024 17:42,01/01/2024 18:23,4.59,12,Lambeth,Newham
28/10/2024,TFL-J-436451,Tube,Waterloo,Paddington,28/10/2024 17:57,28/10/2024 18:47,4.12,24,Lambeth,Westminster
21/02/2024,TFL-J-408202,Tube,Bank,Stratford,21/02/2024 09:43,21/02/2024 10:16,4.34,17,City of London,Newham
20/03/2024,TFL-J-762495,Tube,Bank,Waterloo,20/03/2024 12:08,20/03/2024 12:24,2.82,1,City of London,Lambeth
23/12/2024,TFL-J-554576,Tube,Liverpool Street,Paddington,23/12/2024 18:16,23/12/2024 18:59,4.15,6,City of London,Westminster
03/08/2024,TFL-J-869574,Bus,Victoria,Waterloo,03/08/2024 23:22,04/08/2024 00:01,1.75,1,Westminster,Lambeth
29/10/2024,TFL-J-651592,Tube,Waterloo,Euston,29/10/2024 16:06,29/10/2024 16:46,4.47,22,Lambeth,Camden
27/10/2024,TFL-J-990232,Tube,Waterloo,Victoria,27/10/2024 08:54,27/10/2024 09:39,13.78,0,Lambeth,Westminster
04/05/2024,TFL-J-944624,Tube,Paddington,Waterloo,04/05/2024 09:29,04/05/2024 08:31,3.53,35,Westminster,Lambeth
23/04/2024,TFL-J-668479,Tube,Euston,Victoria,23/04/2024 17:21,23/04/2024 18:21,9.93,19,Camden,Westminster
24/03/2024,TFL-J-905804,Bus,Paddington,Canary Wharf,24/03/2024 09:56,24/03/2024 10:24,1.75,10,Westminster,Tower Hamlets
02/05/2024,TFL-J-633849,Tube,London Bridge,Paddington,02/05/2024 18:23,02/05/2024 19:15,9.91,10,Southwark,Westminster
29/04/2024,TFL-J-837975,Tube,Waterloo,Liverpool Street,29/04/2024 13:07,29/04/2024 13:45,9.58,10,Lambeth,City of London
02/08/2024,TFL-J-430496,Tube,Victoria,Bank,02/08/2024 21:52,02/08/2024 22:14,3.86,2,Westminster,City of London
05/09/2024,TFL-J-459751,Tube,Waterloo,Euston,05/09/2024 09:01,05/09/2024 09:53,3.98,12,Lambeth,Camden
03/12/2024,TFL-J-816735,Tube,Bank,Waterloo,03/12/2024 09:37,03/12/2024 09:09,3.8,11,City of London,Lambeth
05/04/2024,TFL-J-974548,Tube,Canary Wharf,Liverpool Street,05/04/2024 17:40,05/04/2024 17:58,4.02,1,Tower Hamlets,City of London
25/06/2024,TFL-J-742164,Tube,London Bridge,Bank,25/06/2024 09:19,25/06/2024 10:05,2.91,2,Southwark,City of London
25/07/2024,TFL-J-705750,Tube,Stratford,Euston,25/07/2024 07:02,25/07/2024 07:59,2.85,18,Newham,Camden
10/03/2024,TFL-J-799001,Tube,Bank,Liverpool Street,10/03/2024 09:00,10/03/2024 09:34,4.75,1,City of London,City of London
20/04/2024,TFL-J-981256,Tube,Bank,London Bridge,20/04/2024 09:46,20/04/2024 10:36,2.93,7,City of London,Southwark
01/08/2024,TFL-J-506881,Bus,Waterloo,Liverpool Street,01/08/2024 18:06,01/08/2024 18:23,1.75,1,Lambeth,City of London
31/08/2024,TFL-J-897296,Bus,Paddington,Stratford,31/08/2024 11:40,31/08/2024 12:04,1.75,0,Westminster,Newham
03/10/2024,TFL-J-543115,Bus,Victoria,London Bridge,03/10/2024 16:23,03/10/2024 16:55,1.75,11,Westminster,Southwark
28/09/2024,TFL-J-181594,Bus,London Bridge,Bank,28/09/2024 11:09,28/09/2024 11:38,1.75,4,Southwark,City of London
23/03/2024,TFL-J-892707,Tube,Euston,Kings Cross,23/03/2024 08:46,23/03/2024 09:28,4.29,5,Camden,Camden
12/03/2024,TFL-J-934326,Tube,Paddington,London Bridge,12/03/2024 16:19,12/03/2024 17:05,4.12,1,Westminster,Southwark
19/12/2024,TFL-J-894783,Tube,Liverpool Street,Waterloo,19/12/2024 13:06,19/12/2024 13:55,3.26,10,City of London,Lambeth
10/06/2024,TFL-J-989219,Tube,London Bridge,Kings Cross,10/06/2024 17:50,10/06/2024 18:38,4.43,14,Southwark,Camden
04/07/2024,TFL-J-826862,Tube,Bank,Kings Cross,04/07/2024 09:55,04/07/2024 10:11,4.43,1,City of London,Camden
22/04/2024,TFL-J-714599,Tube,Bank,Stratford,22/04/2024 09:57,22/04/2024 10:48,3.17,14,City of London,Newham
18/05/2024,TFL-J-616039,Tube,Liverpool Street,Waterloo,18/05/2024 17:13,18/05/2024 17:34,4.2,1,City of London,Lambeth
23/10/2024,TFL-J-726258,Tube,Victoria,Waterloo,23/10/2024 18:51,23/10/2024 19:34,5.03,14,Westminster,Lambeth
06/05/2024,TFL-J-711898,Tube,Canary Wharf,Kings Cross,06/05/2024 09:31,06/05/2024 09:52,4.74,1,Tower Hamlets,Camden
11/03/2024,TFL-J-805660,Tube,Waterloo,Bank,11/03/2024 09:26,11/03/2024 09:48,4.53,0,Lambeth,City of London
04/09/2024,TFL-J-790086,Overground,Bank,Canary Wharf,04/09/2024 13:00,04/09/2024 13:40,4.29,6,City of London,Tower Hamlets
26/11/2024,TFL-J-307350,Tube,Bank,London Bridge,26/11/2024 07:21,26/11/2024 07:40,2.84,0,City of London,Southwark
26/05/2024,TFL-J-205824,Bus,Victoria,Bank,26/05/2024 21:22,26/05/2024 22:06,1.75,9,Westminster,City of London
13/04/2024,TFL-J-183385,Bus,London Bridge,Stratford,13/04/2024 11:22,13/04/2024 11:51,1.75,2,Southwark,Newham
18/10/2024,TFL-J-529351,Bus,Paddington,Stratford,18/10/2024 09:44,18/10/2024 10:33,1.75,7,Westminster,Newham
03/02/2024,TFL-J-856674,Bus,London Bridge,Bank,03/02/2024 23:58,04/02/2024 00:06,9.4,0,Southwark,City of London
06/08/2024,TFL-J-516461,Bus,Kings Cross,Liverpool Street,06/08/2024 16:47,06/08/2024 17:33,1.75,1,Camden,City of London
13/09/2024,TFL-J-960033,Tube,Victoria,Kings Cross,13/09/2024 12:17,13/09/2024 12:43,12.04,0,Westminster,Camden
28/02/2024,TFL-J-931520,Tube,Bank,Euston,28/02/2024 08:34,28/02/2024 09:26,2.86,34,City of London,Camden
21/08/2024,TFL-J-818392,Bus,Bank,Waterloo,21/08/2024 07:53,21/08/2024 07:03,1.75,18,City of London,Lambeth
23/04/2024,TFL-J-978055,Bus,Bank,Waterloo,23/04/2024 07:17,23/04/2024 08:26,1.75,49,City of London,Lambeth
