Date,Journey_ID,Transport_Mode,Origin_Station,Destination_Station,Tap_In_Time,Tap_Out_Time,Journey_Cost,Delay_Minutes,Origin_Borough,Destination_Borough,Journey_Duration,Cost_Per_Minute,Time_of_Day,Congestion_Tier
2024-07-05,TFL-J-551978,Tube,Bank,Victoria,2024-07-05 07:55:00,2024-07-05 08:01:00,9.4,18,City of London,Westminster,6.0,1.5666666666666667,Peak AM,High Friction
2024-01-17,TFL-J-606779,Tube,Canary Wharf,Euston,2024-01-17 23:39:00,2024-01-17 23:57:00,3.02,1,Tower Hamlets,Camden,18.0,0.16777777777777778,Night,Smooth
2024-05-01,TFL-J-888630,Tube,Euston,Paddington,2024-05-01 07:06:00,2024-05-01 07:57:00,4.02,18,Camden,Westminster,51.0,0.0788235294117647,Peak AM,High Friction
2024-04-10,TFL-J-524190,Bus,Waterloo,Paddington,2024-04-10 17:46:00,2024-04-10 18:41:00,1.75,38,Lambeth,Westminster,55.0,0.031818181818181815,Peak PM,High Friction
2024-09-21,TFL-J-968814,Overground,Waterloo,Victoria,2024-09-21 09:23:00,2024-09-21 10:02:00,4.34,14,Lambeth,Westminster,39.0,0.11128205128205128,Peak AM,High Friction
2024-09-11,TFL-J-597673,Tube,Kings Cross,Bank,2024-09-11 08:58:00,2024-09-11 10:00:00,4.99,18,Camden,City of London,62.0,0.08048387096774194,Peak AM,Severe Friction
2024-10-21,TFL-J-190844,Tube,Victoria,Liverpool Street,2024-10-21 18:37:00,2024-10-21 19:29:00,3.6,10,Westminster,City of London,52.0,0.06923076923076923,Peak PM,Minor Delays
2024-11-21,TFL-J-109683,Bus,London Bridge,Paddington,2024-11-21 09:34:00,2024-11-21 10:14:00,1.75,2,Southwark,Westminster,40.0,0.04375,Peak AM,Smooth
2024-10-06,TFL-J-534879,Tube,London Bridge,Liverpool Street,2024-10-06 09:51:00,2024-10-06 10:19:00,2.82,6,Southwark,City of London,28.0,0.10071428571428571,Peak AM,Minor Delays
2024-08-29,TFL-J-661846,Bus,Bank,Stratford,2024-08-29 07:09:00,2024-08-29 07:51:00,1.75,3,City of London,Newham,42.0,0.041666666666666664,Peak AM,Smooth
2024-02-05,TFL-J-455433,Tube,Paddington,Stratford,2024-02-05 09:03:00,2024-02-05 09:24:00,4.02,1,Westminster,Newham,21.0,0.19142857142857142,Peak AM,Smooth
2024-01-16,TFL-J-292207,Tube,Paddington,Kings Cross,2024-01-16 10:36:00,2024-01-16 11:00:00,5.2,1,Westminster,Camden,24.0,0.21666666666666667,Off-Peak,Smooth
2024-05-26,TFL-J-765103,Tube,Bank,Stratford,2024-05-26 07:02:00,2024-05-26 07:38:00,3.99,11,City of London,Newham,36.0,0.11083333333333334,Peak AM,High Friction
2024-08-09,TFL-J-223610,Bus,Victoria,Stratford,2024-08-09 16:50:00,2024-08-09 17:29:00,1.75,3,Westminster,Newham,39.0,0.04487179487179487,Peak PM,Smooth
2024-05-25,TFL-J-573066,Tube,Victoria,Waterloo,2024-05-25 16:33:00,2024-05-25 17:08:00,4.15,9,Westminster,Lambeth,35.0,0.11857142857142858,Peak PM,Minor Delays
2024-04-03,TFL-J-147425,Tube,Stratford,Victoria,2024-04-03 14:51:00,2024-04-03 15:08:00,3.33,2,Newham,Westminster,17.0,0.19588235294117648,Off-Peak,Smooth
2024-07-08,TFL-J-807126,Bus,London Bridge,Bank,2024-07-08 14:28:00,2024-07-08 15:03:00,5.14,1,Southwark,City of London,35.0,0.14685714285714285,Off-Peak,Smooth
2024-03-17,TFL-J-157765,Tube,Canary Wharf,Euston,2024-03-17 09:06:00,2024-03-17 09:40:00,5.14,1,Tower Hamlets,Camden,34.0,0.15117647058823527,Peak AM,Smooth
2024-10-18,TFL-J-730344,Tube,Euston,Stratford,2024-10-18 14:24:00,2024-10-18 14:50:00,5.44,2,Camden,Newham,26.0,0.20923076923076925,Off-Peak,Smooth
2024-08-09,TFL-J-411066,Tube,Kings Cross,Canary Wharf,2024-08-09 19:21:00,2024-08-09 19:54:00,4.0,1,Camden,Tower Hamlets,33.0,0.12121212121212122,Night,Smooth
2024-08-16,TFL-J-418989,Bus,Kings Cross,Waterloo,2024-08-16 17:03:00,2024-08-16 17:54:00,1.75,21,Camden,Lambeth,51.0,0.03431372549019608,Peak PM,High Friction
2024-05-07,TFL-J-225541,Bus,Bank,Canary Wharf,2024-05-07 07:32:00,2024-05-07 08:17:00,1.75,23,City of London,Tower Hamlets,45.0,0.03888888888888889,Peak AM,High Friction
2024-09-17,TFL-J-659154,Overground,Waterloo,Paddington,2024-09-17 18:54:00,2024-09-17 19:50:00,3.19,13,Lambeth,Westminster,56.0,0.05696428571428571,Peak PM,High Friction
2024-02-25,TFL-J-904536,Tube,Paddington,Victoria,2024-02-25 22:44:00,2024-02-25 23:09:00,4.39,4,Westminster,Westminster,25.0,0.17559999999999998,Night,Smooth
2024-04-17,TFL-J-272687,Tube,Stratford,Paddington,2024-04-17 08:43:00,2024-04-17 09:17:00,3.19,8,Newham,Westminster,34.0,0.09382352941176471,Peak AM,Minor Delays
2024-05-29,TFL-J-232684,Tube,Victoria,Paddington,2024-05-29 17:01:00,2024-05-29 17:39:00,3.88,8,Westminster,Westminster,38.0,0.10210526315789474,Peak PM,Minor Delays
2024-10-04,TFL-J-563168,Bus,Canary Wharf,Kings Cross,2024-10-04 09:36:00,2024-10-04 10:24:00,1.75,6,Tower Hamlets,Camden,48.0,0.036458333333333336,Peak AM,Minor Delays
2024-11-11,TFL-J-829529,Tube,Stratford,London Bridge,2024-11-11 17:07:00,2024-11-11 18:01:00,3.72,17,Newham,Southwark,54.0,0.06888888888888889,Peak PM,High Friction
2024-03-11,TFL-J-429403,Tube,Bank,Stratford,2024-03-11 10:52:00,2024-03-11 11:33:00,3.09,3,City of London,Newham,41.0,0.07536585365853658,Off-Peak,Smooth
2024-06-12,TFL-J-969616,Bus,Kings Cross,Liverpool Street,2024-06-12 18:39:00,2024-06-12 19:30:00,1.75,6,Camden,City of London,51.0,0.03431372549019608,Peak PM,Minor Delays
2024-12-25,TFL-J-458204,Tube,Stratford,Canary Wharf,2024-12-25 18:54:00,2024-12-25 19:24:00,3.68,1,Newham,Tower Hamlets,30.0,0.12266666666666667,Peak PM,Smooth
2024-11-21,TFL-J-300524,Tube,Paddington,Victoria,2024-11-21 07:11:00,2024-11-21 07:50:00,5.44,24,Westminster,Westminster,39.0,0.1394871794871795,Peak AM,High Friction
2024-09-19,TFL-J-108080,Bus,Liverpool Street,Paddington,2024-09-19 17:57:00,2024-09-19 18:40:00,1.75,8,City of London,Westminster,43.0,0.040697674418604654,Peak PM,Minor Delays
2024-02-21,TFL-J-273106,Tube,Canary Wharf,Euston,2024-02-21 08:47:00,2024-02-21 09:11:00,4.12,1,Tower Hamlets,Camden,24.0,0.17166666666666666,Peak AM,Smooth
2024-04-19,TFL-J-303451,Tube,Victoria,London Bridge,2024-04-19 14:48:00,2024-04-19 15:27:00,10.57,10,Westminster,Southwark,39.0,0.27102564102564103,Off-Peak,Minor Delays
2024-08-07,TFL-J-679547,Bus,Bank,Victoria,2024-08-07 17:00:00,2024-08-07 17:30:00,1.75,0,City of London,Westminster,30.0,0.058333333333333334,Peak PM,Smooth
2024-05-26,TFL-J-136880,Tube,Paddington,Canary Wharf,2024-05-26 07:51:00,2024-05-26 08:15:00,3.08,6,Westminster,Tower Hamlets,24.0,0.12833333333333333,Peak AM,Minor Delays
2024-08-12,TFL-J-237183,Bus,Waterloo,London Bridge,2024-08-12 10:22:00,2024-08-12 10:50:00,1.75,6,Lambeth,Southwark,28.0,0.0625,Off-Peak,Minor Delays
2024-01-13,TFL-J-625186,Tube,Liverpool Street,Bank,2024-01-13 09:18:00,2024-01-13 10:11:00,5.04,19,City of London,City of London,53.0,0.09509433962264151,Peak AM,High Friction
2024-02-14,TFL-J-192881,Tube,Waterloo,Bank,2024-02-14 08:43:00,2024-02-14 09:25:00,4.95,3,Lambeth,City of London,42.0,0.11785714285714285,Peak AM,Smooth
2024-06-02,TFL-J-868218,Bus,Canary Wharf,Euston,2024-06-02 17:42:00,2024-06-02 18:06:00,1.75,8,Tower Hamlets,Camden,24.0,0.07291666666666667,Peak PM,Minor Delays
2024-09-07,TFL-J-153721,Bus,Victoria,Kings Cross,2024-09-07 08:53:00,2024-09-07 09:11:00,1.75,1,Westminster,Camden,18.0,0.09722222222222222,Peak AM,Smooth
2024-08-22,TFL-J-513550,Tube,Waterloo,Bank,2024-08-22 08:39:00,2024-08-22 09:14:00,4.91,6,Lambeth,City of London,35.0,0.1402857142857143,Peak AM,Minor Delays
2024-09-13,TFL-J-954689,Bus,Paddington,Waterloo,2024-09-13 09:11:00,2024-09-13 09:51:00,1.75,3,Westminster,Lambeth,40.0,0.04375,Peak AM,Smooth
2024-09-13,TFL-J-336109,Tube,London Bridge,Liverpool Street,2024-09-13 18:15:00,2024-09-13 18:52:00,3.96,8,Southwark,City of London,37.0,0.10702702702702703,Peak PM,Minor Delays
2024-06-25,TFL-J-176954,Tube,Kings Cross,Paddington,2024-06-25 23:32:00,2024-06-26 00:03:00,2.9,2,Camden,Westminster,31.0,0.0935483870967742,Night,Smooth
2024-12-16,TFL-J-239947,Tube,Euston,Liverpool Street,2024-12-16 15:55:00,2024-12-16 16:35:00,3.73,1,Camden,City of London,40.0,0.09325,Off-Peak,Smooth
2024-01-03,TFL-J-228566,Tube,Canary Wharf,Euston,2024-01-03 17:24:00,2024-01-03 18:31:00,4.95,33,Tower Hamlets,Camden,67.0,0.07388059701492537,Peak PM,High Friction
2024-04-25,TFL-J-640202,Tube,Victoria,Kings Cross,2024-04-25 17:17:00,2024-04-25 18:15:00,5.29,38,Westminster,Camden,58.0,0.09120689655172413,Peak PM,High Friction
2024-10-18,TFL-J-735805,Tube,Kings Cross,Waterloo,2024-10-18 09:17:00,2024-10-18 09:56:00,2.92,0,Camden,Lambeth,39.0,0.07487179487179486,Peak AM,Smooth
2024-12-29,TFL-J-986026,Bus,Canary Wharf,Waterloo,2024-12-29 23:32:00,2024-12-29 23:50:00,1.75,1,Tower Hamlets,Lambeth,18.0,0.09722222222222222,Night,Smooth
2024-05-31,TFL-J-533810,Tube,Kings Cross,Paddington,2024-05-31 16:43:00,2024-05-31 17:30:00,4.06,30,Camden,Westminster,47.0,0.08638297872340425,Peak PM,High Friction
2024-03-05,TFL-J-499450,Bus,Kings Cross,Paddington,2024-03-05 11:22:00,2024-03-05 11:28:00,9.4,6,Camden,Westminster,6.0,1.5666666666666667,Off-Peak,Minor Delays
2024-02-11,TFL-J-679939,Overground,Liverpool Street,Victoria,2024-02-11 16:18:00,2024-02-11 17:11:00,4.23,19,City of London,Westminster,53.0,0.07981132075471699,Peak PM,High Friction
2024-07-05,TFL-J-596681,Overground,London Bridge,Waterloo,2024-07-05 18:26:00,2024-07-05 19:32:00,2.81,25,Southwark,Lambeth,66.0,0.04257575757575758,Peak PM,High Friction
2024-07-12,TFL-J-688669,Tube,Liverpool Street,Victoria,2024-07-12 07:32:00,2024-07-12 08:01:00,5.11,3,City of London,Westminster,29.0,0.17620689655172414,Peak AM,Smooth
2024-11-07,TFL-J-165132,Tube,Victoria,Euston,2024-11-07 16:20:00,2024-11-07 16:40:00,3.79,3,Westminster,Camden,20.0,0.1895,Peak PM,Smooth
2024-01-18,TFL-J-906834,Overground,Canary Wharf,Waterloo,2024-01-18 20:45:00,2024-01-18 21:17:00,7.83,1,Tower Hamlets,Lambeth,32.0,0.2446875,Night,Smooth
2024-10-26,TFL-J-110255,Bus,Stratford,Victoria,2024-10-26 07:45:00,2024-10-26 08:30:00,1.75,13,Newham,Westminster,45.0,0.03888888888888889,Peak AM,High Friction
2024-11-17,TFL-J-618459,Tube,Waterloo,Liverpool Street,2024-11-17 09:29:00,2024-11-17 09:57:00,3.97,3,Lambeth,City of London,28.0,0.1417857142857143,Peak AM,Smooth
2024-06-29,TFL-J-664654,Tube,Waterloo,Victoria,2024-06-29 16:04:00,2024-06-29 16:28:00,4.48,7,Lambeth,Westminster,24.0,0.18666666666666668,Peak PM,Minor Delays
2024-04-13,TFL-J-977902,Bus,Victoria,Euston,2024-04-13 09:23:00,2024-04-13 10:04:00,1.75,20,Westminster,Camden,41.0,0.042682926829268296,Peak AM,High Friction
2024-09-14,TFL-J-541580,Tube,Canary Wharf,Paddington,2024-09-14 16:29:00,2024-09-14 17:17:00,3.75,7,Tower Hamlets,Westminster,48.0,0.078125,Peak PM,Minor Delays
2024-03-30,TFL-J-845698,Bus,Canary Wharf,Kings Cross,2024-03-30 08:13:00,2024-03-30 08:51:00,1.75,13,Tower Hamlets,Camden,38.0,0.046052631578947366,Peak AM,High Friction
2024-09-06,TFL-J-315159,Tube,Bank,Paddington,2024-09-06 08:40:00,2024-09-06 09:01:00,5.29,5,City of London,Westminster,21.0,0.2519047619047619,Peak AM,Smooth
2024-09-09,TFL-J-882268,Tube,London Bridge,Victoria,2024-09-09 16:18:00,2024-09-09 16:27:00,9.4,2,Southwark,Westminster,9.0,1.0444444444444445,Peak PM,Smooth
2024-10-14,TFL-J-709913,Tube,Bank,Victoria,2024-10-14 14:11:00,2024-10-14 14:59:00,3.28,3,City of London,Westminster,48.0,0.06833333333333333,Off-Peak,Smooth
2024-03-25,TFL-J-197768,Bus,Bank,Stratford,2024-03-25 12:07:00,2024-03-25 12:23:00,3.21,1,City of London,Newham,16.0,0.200625,Off-Peak,Smooth
2024-08-05,TFL-J-422049,Tube,Liverpool Street,London Bridge,2024-08-05 17:06:00,2024-08-05 17:28:00,3.65,0,City of London,Southwark,22.0,0.1659090909090909,Peak PM,Smooth
2024-02-26,TFL-J-765108,Tube,Liverpool Street,Stratford,2024-02-26 07:38:00,2024-02-26 08:23:00,3.91,3,City of London,Newham,45.0,0.08688888888888889,Peak AM,Smooth
2024-03-12,TFL-J-627283,Tube,Victoria,Liverpool Street,2024-03-12 20:08:00,2024-03-12 20:53:00,3.73,0,Westminster,City of London,45.0,0.08288888888888889,Night,Smooth
2024-10-04,TFL-J-603029,Tube,Waterloo,Liverpool Street,2024-10-04 07:37:00,2024-10-04 08:28:00,4.53,14,Lambeth,City of London,51.0,0.0888235294117647,Peak AM,High Friction
2024-03-21,TFL-J-304228,Overground,Paddington,Waterloo,2024-03-21 17:10:00,2024-03-21 17:43:00,4.69,13,Westminster,Lambeth,33.0,0.14212121212121212,Peak PM,High Friction
2024-04-30,TFL-J-849204,Tube,Euston,Waterloo,2024-04-30 08:51:00,2024-04-30 09:24:00,3.82,16,Camden,Lambeth,33.0,0.11575757575757575,Peak AM,High Friction
2024-09-12,TFL-J-459826,Tube,Victoria,London Bridge,2024-09-12 07:54:00,2024-09-12 08:36:00,4.64,3,Westminster,Southwark,42.0,0.11047619047619046,Peak AM,Smooth
2024-10-30,TFL-J-810024,Bus,Paddington,London Bridge,2024-10-30 07:13:00,2024-10-30 08:31:00,1.75,55,Westminster,Southwark,78.0,0.022435897435897436,Peak AM,Severe Friction
2024-04-23,TFL-J-680167,Tube,Euston,Waterloo,2024-04-23 09:52:00,2024-04-23 10:19:00,5.32,2,Camden,Lambeth,27.0,0.19703703703703704,Peak AM,Smooth
2024-03-26,TFL-J-704069,Bus,London Bridge,Liverpool Street,2024-03-26 09:46:00,2024-03-26 10:44:00,1.75,40,Southwark,City of London,58.0,0.03017241379310345,Peak AM,High Friction
2024-08-27,TFL-J-641751,Tube,Bank,Waterloo,2024-08-27 07:23:00,2024-08-27 08:07:00,4.44,18,City of London,Lambeth,44.0,0.10090909090909092,Peak AM,High Friction
2024-04-30,TFL-J-538380,Overground,Stratford,Euston,2024-04-30 15:49:00,2024-04-30 16:34:00,4.85,5,Newham,Camden,45.0,0.10777777777777776,Off-Peak,Smooth
2024-01-31,TFL-J-648810,Overground,Stratford,Paddington,2024-01-31 23:18:00,2024-01-31 23:37:00,4.81,1,Newham,Westminster,19.0,0.2531578947368421,Night,Smooth
2024-05-28,TFL-J-434121,Tube,Bank,Kings Cross,2024-05-28 18:12:00,2024-05-28 18:58:00,4.95,12,City of London,Camden,46.0,0.10760869565217392,Peak PM,High Friction
2024-05-12,TFL-J-888829,Tube,Stratford,Canary Wharf,2024-05-12 16:12:00,2024-05-12 17:10:00,5.46,15,Newham,Tower Hamlets,58.0,0.09413793103448276,Peak PM,High Friction
2024-05-29,TFL-J-748952,Tube,Paddington,Stratford,2024-05-29 08:56:00,2024-05-29 09:40:00,4.58,8,Westminster,Newham,44.0,0.1040909090909091,Peak AM,Minor Delays
2024-12-27,TFL-J-495744,Tube,Victoria,Kings Cross,2024-12-27 15:48:00,2024-12-27 16:19:00,4.84,0,Westminster,Camden,31.0,0.15612903225806452,Off-Peak,Smooth
2024-06-22,TFL-J-395425,Bus,Bank,Paddington,2024-06-22 07:43:00,2024-06-22 08:31:00,1.75,3,City of London,Westminster,48.0,0.036458333333333336,Peak AM,Smooth
2024-01-12,TFL-J-322151,Bus,Stratford,Canary Wharf,2024-01-12 09:28:00,2024-01-12 09:56:00,1.75,12,Newham,Tower Hamlets,28.0,0.0625,Peak AM,High Friction
2024-05-13,TFL-J-187706,Tube,Stratford,Victoria,2024-05-13 14:37:00,2024-05-13 15:16:00,5.46,1,Newham,Westminster,39.0,0.13999999999999999,Off-Peak,Smooth
2024-01-10,TFL-J-219502,Tube,Stratford,Waterloo,2024-01-10 18:22:00,2024-01-10 19:22:00,4.08,19,Newham,Lambeth,60.0,0.068,Peak PM,High Friction
2024-11-14,TFL-J-909567,Bus,Canary Wharf,Stratford,2024-11-14 15:23:00,2024-11-14 16:08:00,1.75,2,Tower Hamlets,Newham,45.0,0.03888888888888889,Off-Peak,Smooth
2024-02-10,TFL-J-680359,Tube,Euston,Canary Wharf,2024-02-10 07:20:00,2024-02-10 07:44:00,4.2,7,Camden,Tower Hamlets,24.0,0.17500000000000002,Peak AM,Minor Delays
2024-03-16,TFL-J-642521,Tube,Stratford,London Bridge,2024-03-16 18:52:00,2024-03-16 19:16:00,3.53,1,Newham,Southwark,24.0,0.14708333333333332,Peak PM,Smooth
2024-11-03,TFL-J-735146,Bus,Stratford,Paddington,2024-11-03 07:04:00,2024-11-03 07:22:00,1.75,2,Newham,Westminster,18.0,0.09722222222222222,Peak AM,Smooth
2024-08-11,TFL-J-743208,Tube,Bank,Victoria,2024-08-11 11:23:00,2024-08-11 12:05:00,4.76,2,City of London,Westminster,42.0,0.11333333333333333,Off-Peak,Smooth
2024-03-05,TFL-J-422274,Bus,Waterloo,Euston,2024-03-05 07:15:00,2024-03-05 08:08:00,1.75,18,Lambeth,Camden,53.0,0.0330188679245283,Peak AM,High Friction
2024-02-07,TFL-J-185604,Tube,London Bridge,Euston,2024-02-07 07:12:00,2024-02-07 08:00:00,2.84,12,Southwark,Camden,48.0,0.059166666666666666,Peak AM,High Friction
2024-11-08,TFL-J-434674,Tube,Bank,Waterloo,2024-11-08 11:17:00,2024-11-08 12:00:00,2.95,3,City of London,Lambeth,43.0,0.0686046511627907,Off-Peak,Smooth
2024-05-26,TFL-J-737405,Bus,Euston,Kings Cross,2024-05-26 09:09:00,2024-05-26 09:54:00,1.75,4,Camden,Camden,45.0,0.03888888888888889,Peak AM,Smooth
2024-03-28,TFL-J-263736,Bus,Stratford,Waterloo,2024-03-28 07:26:00,2024-03-28 07:47:00,1.75,5,Newham,Lambeth,21.0,0.08333333333333333,Peak AM,Smooth
2024-04-30,TFL-J-867767,Tube,Stratford,Paddington,2024-04-30 08:33:00,2024-04-30 09:56:00,4.21,44,Newham,Westminster,83.0,0.05072289156626506,Peak AM,Severe Friction
2024-07-03,TFL-J-331110,Bus,Paddington,Liverpool Street,2024-07-03 08:03:00,2024-07-03 08:41:00,1.75,11,Westminster,City of London,38.0,0.046052631578947366,Peak AM,High Friction
2024-07-14,TFL-J-835789,Bus,Bank,Waterloo,2024-07-14 08:39:00,2024-07-14 09:34:00,1.75,19,City of London,Lambeth,55.0,0.031818181818181815,Peak AM,High Friction
2024-05-11,TFL-J-515293,Bus,Victoria,Paddington,2024-05-11 09:59:00,2024-05-11 10:38:00,1.75,8,Westminster,Westminster,39.0,0.04487179487179487,Peak AM,Minor Delays
2024-09-28,TFL-J-489800,Tube,Paddington,Kings Cross,2024-09-28 17:11:00,2024-09-28 17:31:00,3.59,5,Westminster,Camden,20.0,0.1795,Peak PM,Smooth
2024-05-22,TFL-J-759842,Tube,Waterloo,Liverpool Street,2024-05-22 16:47:00,2024-05-22 17:07:00,2.96,5,Lambeth,City of London,20.0,0.148,Peak PM,Smooth
2024-04-19,TFL-J-926540,Bus,Euston,Waterloo,2024-04-19 18:24:00,2024-04-19 18:42:00,1.75,1,Camden,Lambeth,18.0,0.09722222222222222,Peak PM,Smooth
2024-11-25,TFL-J-484475,Bus,Victoria,Bank,2024-11-25 18:21:00,2024-11-25 19:03:00,1.75,1,Westminster,City of London,42.0,0.041666666666666664,Peak PM,Smooth
2024-02-25,TFL-J-781364,Tube,Euston,Paddington,2024-02-25 18:23:00,2024-02-25 18:55:00,3.96,0,Camden,Westminster,32.0,0.12375,Peak PM,Smooth
2024-10-28,TFL-J-110337,Overground,Liverpool Street,Paddington,2024-10-28 08:37:00,2024-10-28 09:01:00,3.31,4,City of London,Westminster,24.0,0.13791666666666666,Peak AM,Smooth
2024-07-30,TFL-J-822705,Overground,Stratford,Paddington,2024-07-30 12:48:00,2024-07-30 13:18:00,2.99,2,Newham,Westminster,30.0,0.09966666666666667,Off-Peak,Smooth
2024-04-06,TFL-J-998452,Tube,London Bridge,Euston,2024-04-06 09:32:00,2024-04-06 10:02:00,4.31,9,Southwark,Camden,30.0,0.14366666666666666,Peak AM,Minor Delays
2024-07-10,TFL-J-594967,Tube,Kings Cross,London Bridge,2024-07-10 09:59:00,2024-07-10 10:50:00,4.4,8,Camden,Southwark,51.0,0.08627450980392158,Peak AM,Minor Delays
2024-07-07,TFL-J-573202,Bus,Paddington,Euston,2024-07-07 07:32:00,2024-07-07 08:05:00,1.75,2,Westminster,Camden,33.0,0.05303030303030303,Peak AM,Smooth
2024-04-27,TFL-J-602150,Tube,Bank,Euston,2024-04-27 08:47:00,2024-04-27 10:30:00,4.43,78,City of London,Camden,103.0,0.043009708737864076,Peak AM,Severe Friction
2024-05-01,TFL-J-280021,Bus,Kings Cross,Euston,2024-05-01 15:51:00,2024-05-01 16:22:00,1.75,2,Camden,Camden,31.0,0.056451612903225805,Off-Peak,Smooth
2024-07-24,TFL-J-216823,Tube,Victoria,Waterloo,2024-07-24 13:34:00,2024-07-24 13:59:00,3.09,2,Westminster,Lambeth,25.0,0.12359999999999999,Off-Peak,Smooth
2024-04-23,TFL-J-695549,Tube,Waterloo,Paddington,2024-04-23 07:39:00,2024-04-23 08:17:00,4.76,1,Lambeth,Westminster,38.0,0.12526315789473683,Peak AM,Smooth
2024-07-25,TFL-J-667938,Tube,Bank,Canary Wharf,2024-07-25 16:11:00,2024-07-25 16:46:00,3.86,0,City of London,Tower Hamlets,35.0,0.11028571428571428,Peak PM,Smooth
2024-12-16,TFL-J-783408,Bus,Euston,Stratford,2024-12-16 17:30:00,2024-12-16 17:32:00,9.4,10,Camden,Newham,2.0,4.7,Peak PM,Minor Delays
2024-03-29,TFL-J-805856,Tube,Victoria,Waterloo,2024-03-29 08:27:00,2024-03-29 09:32:00,3.37,27,Westminster,Lambeth,65.0,0.05184615384615385,Peak AM,Severe Friction
2024-08-16,TFL-J-410187,Tube,Stratford,Euston,2024-08-16 22:42:00,2024-08-16 22:45:00,9.4,10,Newham,Camden,3.0,3.1333333333333333,Night,Minor Delays
2024-04-06,TFL-J-870387,Tube,Kings Cross,London Bridge,2024-04-06 12:57:00,2024-04-06 13:30:00,4.67,9,Camden,Southwark,33.0,0.1415151515151515,Off-Peak,Minor Delays
2024-01-05,TFL-J-435109,Bus,Paddington,Waterloo,2024-01-05 09:19:00,2024-01-05 09:56:00,1.75,12,Westminster,Lambeth,37.0,0.0472972972972973,Peak AM,High Friction
2024-11-22,TFL-J-820656,Overground,Paddington,Victoria,2024-11-22 08:00:00,2024-11-22 08:24:00,3.58,5,Westminster,Westminster,24.0,0.14916666666666667,Peak AM,Smooth
