Date,Journey_ID,Transport_Mode,Origin_Station,Destination_Station,Tap_In_Time,Tap_Out_Time,Journey_Cost,Delay_Minutes,Origin_Borough,Destination_Borough,Journey_Duration
2024-01-13,TFL-J-625186,Tube,Liverpool Street,Bank,2024-01-13 09:18:00,2024-01-13 10:11:00,5.04,19,City of London,City of London,53.0
2024-02-14,TFL-J-192881,Tube,Waterloo,Bank,2024-02-14 08:43:00,2024-02-14 09:25:00,4.95,3,Lambeth,City of London,42.0
2024-06-02,TFL-J-868218,Bus,Canary Wharf,Euston,2024-06-02 17:42:00,2024-06-02 18:06:00,1.75,8,Tower Hamlets,Camden,24.0
2024-09-07,TFL-J-153721,Bus,Victoria,Kings Cross,2024-09-07 08:53:00,2024-09-07 09:11:00,1.75,1,Westminster,Camden,18.0
2024-08-22,TFL-J-513550,Tube,Waterloo,Bank,2024-08-22 08:39:00,2024-08-22 09:14:00,4.91,6,Lambeth,City of London,35.0
2024-09-13,TFL-J-954689,Bus,Paddington,Waterloo,2024-09-13 09:11:00,2024-09-13 09:51:00,1.75,3,Westminster,Lambeth,40.0
2024-09-13,TFL-J-336109,Tube,London Bridge,Liverpool Street,2024-09-13 18:15:00,2024-09-13 18:52:00,3.96,8,Southwark,City of London,37.0
2024-06-25,TFL-J-176954,Tube,Kings Cross,Paddington,2024-06-25 23:32:00,2024-06-26 00:03:00,2.9,2,Camden,Westminster,31.0
2024-12-16,TFL-J-239947,Tube,Euston,Liverpool Street,2024-12-16 15:55:00,2024-12-16 16:35:00,3.73,1,Camden,City of London,40.0
2024-01-03,TFL-J-228566,Tube,Canary Wharf,Euston,2024-01-03 17:24:00,2024-01-03 18:31:00,4.95,33,Tower Hamlets,Camden,67.0
2024-04-25,TFL-J-640202,Tube,Victoria,Kings Cross,2024-04-25 17:17:00,2024-04-25 18:15:00,5.29,38,Westminster,Camden,58.0
2024-10-18,TFL-J-735805,Tube,Kings Cross,Waterloo,2024-10-18 09:17:00,2024-10-18 09:56:00,2.92,0,Camden,Lambeth,39.0
2024-12-29,TFL-J-986026,Bus,Canary Wharf,Waterloo,2024-12-29 23:32:00,2024-12-29 23:50:00,1.75,1,Tower Hamlets,Lambeth,18.0
2024-05-31,TFL-J-533810,Tube,Kings Cross,Paddington,2024-05-31 16:43:00,2024-05-31 17:30:00,4.06,30,Camden,Westminster,47.0
2024-03-05,TFL-J-499450,Bus,Kings Cross,Paddington,2024-03-05 11:22:00,2024-03-05 11:28:00,9.4,6,Camden,Westminster,6.0
2024-02-11,TFL-J-679939,Overground,Liverpool Street,Victoria,2024-02-11 16:18:00,2024-02-11 17:11:00,4.23,19,City of London,Westminster,53.0
2024-07-05,TFL-J-596681,Overground,London Bridge,Waterloo,2024-07-05 18:26:00,2024-07-05 19:32:00,2.81,25,Southwark,Lambeth,66.0
2024-07-12,TFL-J-688669,Tube,Liverpool Street,Victoria,2024-07-12 07:32:00,2024-07-12 08:01:00,5.11,3,City of London,Westminster,29.0
2024-11-07,TFL-J-165132,Tube,Victoria,Euston,2024-11-07 16:20:00,2024-11-07 16:40:00,3.79,3,Westminster,Camden,20.0
2024-01-18,TFL-J-906834,Overground,Canary Wharf,Waterloo,2024-01-18 20:45:00,2024-01-18 21:17:00,7.83,1,Tower Hamlets,Lambeth,32.0
2024-10-26,TFL-J-110255,Bus,Stratford,Victoria,2024-10-26 07:45:00,2024-10-26 08:30:00,1.75,13,Newham,Westminster,45.0
2024-11-17,TFL-J-618459,Tube,Waterloo,Liverpool Street,2024-11-17 09:29:00,2024-11-17 09:57:00,3.97,3,Lambeth,City of London,28.0
2024-06-29,TFL-J-664654,Tube,Waterloo,Victoria,2024-06-29 16:04:00,2024-06-29 16:28:00,4.48,7,Lambeth,Westminster,24.0
2024-04-13,TFL-J-977902,Bus,Victoria,Euston,2024-04-13 09:23:00,2024-04-13 10:04:00,1.75,20,Westminster,Camden,41.0
2024-09-14,TFL-J-541580,Tube,Canary Wharf,Paddington,2024-09-14 16:29:00,2024-09-14 17:17:00,3.75,7,Tower Hamlets,Westminster,48.0
2024-03-30,TFL-J-845698,Bus,Canary Wharf,Kings Cross,2024-03-30 08:13:00,2024-03-30 08:51:00,1.75,13,Tower Hamlets,Camden,38.0
2024-09-06,TFL-J-315159,Tube,Bank,Paddington,2024-09-06 08:40:00,2024-09-06 09:01:00,5.29,5,City of London,Westminster,21.0
2024-09-09,TFL-J-882268,Tube,London Bridge,Victoria,2024-09-09 16:18:00,2024-09-09 16:27:00,9.4,2,Southwark,Westminster,9.0
2024-10-14,TFL-J-709913,Tube,Bank,Victoria,2024-10-14 14:11:00,2024-10-14 14:59:00,3.28,3,City of London,Westminster,48.0
2024-03-25,TFL-J-197768,Bus,Bank,Stratford,2024-03-25 12:07:00,2024-03-25 12:23:00,3.21,1,City of London,Newham,16.0
2024-08-05,TFL-J-422049,Tube,Liverpool Street,London Bridge,2024-08-05 17:06:00,2024-08-05 17:28:00,3.65,0,City of London,Southwark,22.0
2024-02-26,TFL-J-765108,Tube,Liverpool Street,Stratford,2024-02-26 07:38:00,2024-02-26 08:23:00,3.91,3,City of London,Newham,45.0
2024-03-12,TFL-J-627283,Tube,Victoria,Liverpool Street,2024-03-12 20:08:00,2024-03-12 20:53:00,3.73,0,Westminster,City of London,45.0
2024-10-04,TFL-J-603029,Tube,Waterloo,Liverpool Street,2024-10-04 07:37:00,2024-10-04 08:28:00,4.53,14,Lambeth,City of London,51.0
2024-03-21,TFL-J-304228,Overground,Paddington,Waterloo,2024-03-21 17:10:00,2024-03-21 17:43:00,4.69,13,Westminster,Lambeth,33.0
2024-04-30,TFL-J-849204,Tube,Euston,Waterloo,2024-04-30 08:51:00,2024-04-30 09:24:00,3.82,16,Camden,Lambeth,33.0
2024-09-12,TFL-J-459826,Tube,Victoria,London Bridge,2024-09-12 07:54:00,2024-09-12 08:36:00,4.64,3,Westminster,Southwark,42.0
2024-10-30,TFL-J-810024,Bus,Paddington,London Bridge,2024-10-30 07:13:00,2024-10-30 08:31:00,1.75,55,Westminster,Southwark,78.0
2024-04-23,TFL-J-680167,Tube,Euston,Waterloo,2024-04-23 09:52:00,2024-04-23 10:19:00,5.32,2,Camden,Lambeth,27.0
2024-03-26,TFL-J-704069,Bus,London Bridge,Liverpool Street,2024-03-26 09:46:00,2024-03-26 10:44:00,1.75,40,Southwark,City of London,58.0
2024-08-27,TFL-J-641751,Tube,Bank,Waterloo,2024-08-27 07:23:00,2024-08-27 08:07:00,4.44,18,City of London,Lambeth,44.0
2024-04-30,TFL-J-538380,Overground,Stratford,Euston,2024-04-30 15:49:00,2024-04-30 16:34:00,4.85,5,Newham,Camden,45.0
2024-01-31,TFL-J-648810,Overground,Stratford,Paddington,2024-01-31 23:18:00,2024-01-31 23:37:00,4.81,1,Newham,Westminster,19.0
2024-05-28,TFL-J-434121,Tube,Bank,Kings Cross,2024-05-28 18:12:00,2024-05-28 18:58:00,4.95,12,City of London,Camden,46.0
2024-05-12,TFL-J-888829,Tube,Stratford,Canary Wharf,2024-05-12 16:12:00,2024-05-12 17:10:00,5.46,15,Newham,Tower Hamlets,58.0
2024-05-29,TFL-J-748952,Tube,Paddington,Stratford,2024-05-29 08:56:00,2024-05-29 09:40:00,4.58,8,Westminster,Newham,44.0
2024-12-27,TFL-J-495744,Tube,Victoria,Kings Cross,2024-12-27 15:48:00,2024-12-27 16:19:00,4.84,0,Westminster,Camden,31.0
2024-06-22,TFL-J-395425,Bus,Bank,Paddington,2024-06-22 07:43:00,2024-06-22 08:31:00,1.75,3,City of London,Westminster,48.0
2024-01-12,TFL-J-322151,Bus,Stratford,Canary Wharf,2024-01-12 09:28:00,2024-01-12 09:56:00,1.75,12,Newham,Tower Hamlets,28.0
2024-05-13,TFL-J-187706,Tube,Stratford,Victoria,2024-05-13 14:37:00,2024-05-13 15:16:00,5.46,1,Newham,Westminster,39.0
2024-01-10,TFL-J-219502,Tube,Stratford,Waterloo,2024-01-10 18:22:00,2024-01-10 19:22:00,4.08,19,Newham,Lambeth,60.0
2024-11-14,TFL-J-909567,Bus,Canary Wharf,Stratford,2024-11-14 15:23:00,2024-11-14 16:08:00,1.75,2,Tower Hamlets,Newham,45.0
2024-02-10,TFL-J-680359,Tube,Euston,Canary Wharf,2024-02-10 07:20:00,2024-02-10 07:44:00,4.2,7,Camden,Tower Hamlets,24.0
2024-03-16,TFL-J-642521,Tube,Stratford,London Bridge,2024-03-16 18:52:00,2024-03-16 19:16:00,3.53,1,Newham,Southwark,24.0
2024-11-03,TFL-J-735146,Bus,Stratford,Paddington,2024-11-03 07:04:00,2024-11-03 07:22:00,1.75,2,Newham,Westminster,18.0
2024-08-11,TFL-J-743208,Tube,Bank,Victoria,2024-08-11 11:23:00,2024-08-11 12:05:00,4.76,2,City of London,Westminster,42.0
2024-03-05,TFL-J-422274,Bus,Waterloo,Euston,2024-03-05 07:15:00,2024-03-05 08:08:00,1.75,18,Lambeth,Camden,53.0
2024-02-07,TFL-J-185604,Tube,London Bridge,Euston,2024-02-07 07:12:00,2024-02-07 08:00:00,2.84,12,Southwark,Camden,48.0
2024-11-08,TFL-J-434674,Tube,Bank,Waterloo,2024-11-08 11:17:00,2024-11-08 12:00:00,2.95,3,City of London,Lambeth,43.0
2024-05-26,TFL-J-737405,Bus,Euston,Kings Cross,2024-05-26 09:09:00,2024-05-26 09:54:00,1.75,4,Camden,Camden,45.0
2024-03-28,TFL-J-263736,Bus,Stratford,Waterloo,2024-03-28 07:26:00,2024-03-28 07:47:00,1.75,5,Newham,Lambeth,21.0
2024-04-30,TFL-J-867767,Tube,Stratford,Paddington,2024-04-30 08:33:00,2024-04-30 09:56:00,4.21,44,Newham,Westminster,83.0
2024-07-03,TFL-J-331110,Bus,Paddington,Liverpool Street,2024-07-03 08:03:00,2024-07-03 08:41:00,1.75,11,Westminster,City of London,38.0
2024-07-14,TFL-J-835789,Bus,Bank,Waterloo,2024-07-14 08:39:00,2024-07-14 09:34:00,1.75,19,City of London,Lambeth,55.0
2024-05-11,TFL-J-515293,Bus,Victoria,Paddington,2024-05-11 09:59:00,2024-05-11 10:38:00,1.75,8,Westminster,Westminster,39.0
2024-09-28,TFL-J-489800,Tube,Paddington,Kings Cross,2024-09-28 17:11:00,2024-09-28 17:31:00,3.59,5,Westminster,Camden,20.0
2024-05-22,TFL-J-759842,Tube,Waterloo,Liverpool Street,2024-05-22 16:47:00,2024-05-22 17:07:00,2.96,5,Lambeth,City of London,20.0
2024-04-19,TFL-J-926540,Bus,Euston,Waterloo,2024-04-19 18:24:00,2024-04-19 18:42:00,1.75,1,Camden,Lambeth,18.0
2024-11-25,TFL-J-484475,Bus,Victoria,Bank,2024-11-25 18:21:00,2024-11-25 19:03:00,1.75,1,Westminster,City of London,42.0
2024-02-25,TFL-J-781364,Tube,Euston,Paddington,2024-02-25 18:23:00,2024-02-25 18:55:00,3.96,0,Camden,Westminster,32.0
2024-10-28,TFL-J-110337,Overground,Liverpool Street,Paddington,2024-10-28 08:37:00,2024-10-28 09:01:00,3.31,4,City of London,Westminster,24.0
2024-07-30,TFL-J-822705,Overground,Stratford,Paddington,2024-07-30 12:48:00,2024-07-30 13:18:00,2.99,2,Newham,Westminster,30.0
2024-04-06,TFL-J-998452,Tube,London Bridge,Euston,2024-04-06 09:32:00,2024-04-06 10:02:00,4.31,9,Southwark,Camden,30.0
2024-07-10,TFL-J-594967,Tube,Kings Cross,London Bridge,2024-07-10 09:59:00,2024-07-10 10:50:00,4.4,8,Camden,Southwark,51.0
2024-07-07,TFL-J-573202,Bus,Paddington,Euston,2024-07-07 07:32:00,2024-07-07 08:05:00,1.75,2,Westminster,Camden,33.0
2024-04-27,TFL-J-602150,Tube,Bank,Euston,2024-04-27 08:47:00,2024-04-27 10:30:00,4.43,78,City of London,Camden,103.0
2024-05-01,TFL-J-280021,Bus,Kings Cross,Euston,2024-05-01 15:51:00,2024-05-01 16:22:00,1.75,2,Camden,Camden,31.0
2024-07-24,TFL-J-216823,Tube,Victoria,Waterloo,2024-07-24 13:34:00,2024-07-24 13:59:00,3.09,2,Westminster,Lambeth,25.0
2024-04-23,TFL-J-695549,Tube,Waterloo,Paddington,2024-04-23 07:39:00,2024-04-23 08:17:00,4.76,1,Lambeth,Westminster,38.0
2024-07-25,TFL-J-667938,Tube,Bank,Canary Wharf,2024-07-25 16:11:00,2024-07-25 16:46:00,3.86,0,City of London,Tower Hamlets,35.0
2024-12-16,TFL-J-783408,Bus,Euston,Stratford,2024-12-16 17:30:00,2024-12-16 17:32:00,9.4,10,Camden,Newham,2.0
2024-03-29,TFL-J-805856,Tube,Victoria,Waterloo,2024-03-29 08:27:00,2024-03-29 09:32:00,3.37,27,Westminster,Lambeth,65.0
2024-08-16,TFL-J-410187,Tube,Stratford,Euston,2024-08-16 22:42:00,2024-08-16 22:45:00,9.4,10,Newham,Camden,3.0
2024-04-06,TFL-J-870387,Tube,Kings Cross,London Bridge,2024-04-06 12:57:00,2024-04-06 13:30:00,4.67,9,Camden,Southwark,33.0
2024-01-05,TFL-J-435109,Bus,Paddington,Waterloo,2024-01-05 09:19:00,2024-01-05 09:56:00,1.75,12,Westminster,Lambeth,37.0
2024-11-22,TFL-J-820656,Overground,Paddington,Victoria,2024-11-22 08:00:00,2024-11-22 08:24:00,3.58,5,Westminster,Westminster,24.0
2024-11-13,TFL-J-445259,Tube,Euston,Liverpool Street,2024-11-13 08:14:00,2024-11-13 08:47:00,4.76,18,Camden,City of London,33.0
2024-06-10,TFL-J-481526,Bus,Bank,Kings Cross,2024-06-10 18:48:00,2024-06-10 19:25:00,1.75,16,City of London,Camden,37.0
2024-07-18,TFL-J-601901,Bus,Canary Wharf,London Bridge,2024-07-18 18:15:00,2024-07-18 19:02:00,1.75,4,Tower Hamlets,Southwark,47.0
2024-01-01,TFL-J-893139,Overground,Waterloo,Stratford,2024-01-01 17:42:00,2024-01-01 18:23:00,4.59,12,Lambeth,Newham,41.0
2024-10-28,TFL-J-436451,Tube,Waterloo,Paddington,2024-10-28 17:57:00,2024-10-28 18:47:00,4.12,24,Lambeth,Westminster,50.0
2024-02-21,TFL-J-408202,Tube,Bank,Stratford,2024-02-21 09:43:00,2024-02-21 10:16:00,4.34,17,City of London,Newham,33.0
2024-03-20,TFL-J-762495,Tube,Bank,Waterloo,2024-03-20 12:08:00,2024-03-20 12:24:00,2.82,1,City of London,Lambeth,16.0
2024-12-23,TFL-J-554576,Tube,Liverpool Street,Paddington,2024-12-23 18:16:00,2024-12-23 18:59:00,4.15,6,City of London,Westminster,43.0
2024-08-03,TFL-J-869574,Bus,Victoria,Waterloo,2024-08-03 23:22:00,2024-08-04 00:01:00,1.75,1,Westminster,Lambeth,39.0
2024-10-29,TFL-J-651592,Tube,Waterloo,Euston,2024-10-29 16:06:00,2024-10-29 16:46:00,4.47,22,Lambeth,Camden,40.0
2024-10-27,TFL-J-990232,Tube,Waterloo,Victoria,2024-10-27 08:54:00,2024-10-27 09:39:00,13.78,0,Lambeth,Westminster,45.0
2024-04-23,TFL-J-668479,Tube,Euston,Victoria,2024-04-23 17:21:00,2024-04-23 18:21:00,9.93,19,Camden,Westminster,60.0
2024-03-24,TFL-J-905804,Bus,Paddington,Canary Wharf,2024-03-24 09:56:00,2024-03-24 10:24:00,1.75,10,Westminster,Tower Hamlets,28.0
2024-05-02,TFL-J-633849,Tube,London Bridge,Paddington,2024-05-02 18:23:00,2024-05-02 19:15:00,9.91,10,Southwark,Westminster,52.0
2024-04-29,TFL-J-837975,Tube,Waterloo,Liverpool Street,2024-04-29 13:07:00,2024-04-29 13:45:00,9.58,10,Lambeth,City of London,38.0
2024-08-02,TFL-J-430496,Tube,Victoria,Bank,2024-08-02 21:52:00,2024-08-02 22:14:00,3.86,2,Westminster,City of London,22.0
2024-09-05,TFL-J-459751,Tube,Waterloo,Euston,2024-09-05 09:01:00,2024-09-05 09:53:00,3.98,12,Lambeth,Camden,52.0
2024-04-05,TFL-J-974548,Tube,Canary Wharf,Liverpool Street,2024-04-05 17:40:00,2024-04-05 17:58:00,4.02,1,Tower Hamlets,City of London,18.0
2024-06-25,TFL-J-742164,Tube,London Bridge,Bank,2024-06-25 09:19:00,2024-06-25 10:05:00,2.91,2,Southwark,City of London,46.0
2024-07-25,TFL-J-705750,Tube,Stratford,Euston,2024-07-25 07:02:00,2024-07-25 07:59:00,2.85,18,Newham,Camden,57.0
2024-03-10,TFL-J-799001,Tube,Bank,Liverpool Street,2024-03-10 09:00:00,2024-03-10 09:34:00,4.75,1,City of London,City of London,34.0
2024-04-20,TFL-J-981256,Tube,Bank,London Bridge,2024-04-20 09:46:00,2024-04-20 10:36:00,2.93,7,City of London,Southwark,50.0
2024-08-01,TFL-J-506881,Bus,Waterloo,Liverpool Street,2024-08-01 18:06:00,2024-08-01 18:23:00,1.75,1,Lambeth,City of London,17.0
2024-08-31,TFL-J-897296,Bus,Paddington,Stratford,2024-08-31 11:40:00,2024-08-31 12:04:00,1.75,0,Westminster,Newham,24.0
2024-10-03,TFL-J-543115,Bus,Victoria,London Bridge,2024-10-03 16:23:00,2024-10-03 16:55:00,1.75,11,Westminster,Southwark,32.0
2024-09-28,TFL-J-181594,Bus,London Bridge,Bank,2024-09-28 11:09:00,2024-09-28 11:38:00,1.75,4,Southwark,City of London,29.0
2024-03-23,TFL-J-892707,Tube,Euston,Kings Cross,2024-03-23 08:46:00,2024-03-23 09:28:00,4.29,5,Camden,Camden,42.0
2024-03-12,TFL-J-934326,Tube,Paddington,London Bridge,2024-03-12 16:19:00,2024-03-12 17:05:00,4.12,1,Westminster,Southwark,46.0
2024-12-19,TFL-J-894783,Tube,Liverpool Street,Waterloo,2024-12-19 13:06:00,2024-12-19 13:55:00,3.26,10,City of London,Lambeth,49.0
2024-06-10,TFL-J-989219,Tube,London Bridge,Kings Cross,2024-06-10 17:50:00,2024-06-10 18:38:00,4.43,14,Southwark,Camden,48.0
2024-07-04,TFL-J-826862,Tube,Bank,Kings Cross,2024-07-04 09:55:00,2024-07-04 10:11:00,4.43,1,City of London,Camden,16.0
2024-04-22,TFL-J-714599,Tube,Bank,Stratford,2024-04-22 09:57:00,2024-04-22 10:48:00,3.17,14,City of London,Newham,51.0
2024-05-18,TFL-J-616039,Tube,Liverpool Street,Waterloo,2024-05-18 17:13:00,2024-05-18 17:34:00,4.2,1,City of London,Lambeth,21.0
2024-10-23,TFL-J-726258,Tube,Victoria,Waterloo,2024-10-23 18:51:00,2024-10-23 19:34:00,5.03,14,Westminster,Lambeth,43.0
2024-05-06,TFL-J-711898,Tube,Canary Wharf,Kings Cross,2024-05-06 09:31:00,2024-05-06 09:52:00,4.74,1,Tower Hamlets,Camden,21.0
2024-03-11,TFL-J-805660,Tube,Waterloo,Bank,2024-03-11 09:26:00,2024-03-11 09:48:00,4.53,0,Lambeth,City of London,22.0
2024-09-04,TFL-J-790086,Overground,Bank,Canary Wharf,2024-09-04 13:00:00,2024-09-04 13:40:00,4.29,6,City of London,Tower Hamlets,40.0
